Start Date,07/01/2019,,,,,,,,,,,,,,,,
End Date,05/01/2026,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,SHEL LN Equity,BP/ LN Equity,BARC LN Equity,HSBA LN Equity,ULVR LN Equity,TSCO LN Equity,AZN LN Equity,GSK LN Equity,NG/ LN Equity,DGE LN Equity,IGLS LN Equity,VGOV LN Equity,SLXX LN Equity,GLDW LN Equity,UKX Index,GUKG10 Index,VUKE LN Equity
,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,Dividend Indicated Yield
Dates,DIVIDEND_INDICATED_YIELD,DIVIDEND_INDICATED_YIELD,DIVIDEND_INDICATED_YIELD,DIVIDEND_INDICATED_YIELD,DIVIDEND_INDICATED_YIELD,DIVIDEND_INDICATED_YIELD,DIVIDEND_INDICATED_YIELD,DIVIDEND_INDICATED_YIELD,DIVIDEND_INDICATED_YIELD,DIVIDEND_INDICATED_YIELD,DIVIDEND_INDICATED_YIELD,DIVIDEND_INDICATED_YIELD,DIVIDEND_INDICATED_YIELD,DIVIDEND_INDICATED_YIELD,DIVIDEND_INDICATED_YIELD,DIVIDEND_INDICATED_YIELD,DIVIDEND_INDICATED_YIELD
06/12/2019,6.6934,6.7623,4.1322,7.1625,3.2976,2.9057,2.9949,5.7161,5.3585,2.2116,0.4618,0.9481,2.4352,#N/A N/A,#N/A N/A,#N/A N/A,2.9231
13/12/2019,6.782,6.918,3.836,7.0042,3.3019,2.686,3.012,5.7307,5.1535,2.2475,0.4617,0.9483,2.4316,#N/A N/A,#N/A N/A,#N/A N/A,2.8997
20/12/2019,6.5404,6.5957,3.9233,6.7054,3.4365,2.6796,2.784,5.4519,4.9719,2.1495,0.4616,0.9504,2.4316,#N/A N/A,#N/A N/A,#N/A N/A,2.8102
27/12/2019,6.4437,6.6107,3.8567,6.7324,3.3984,2.6367,2.8066,5.4351,4.9756,2.1236,0.4614,0.9455,2.427,#N/A N/A,#N/A N/A,#N/A N/A,2.7848
03/01/2020,6.3512,6.4755,3.8189,6.7709,3.4444,2.646,2.823,5.5399,5.0305,2.1499,0.4613,0.9419,2.4189,#N/A N/A,#N/A N/A,#N/A N/A,2.7918
10/01/2020,6.4494,6.4598,3.8674,6.8844,3.4864,2.7065,2.8433,5.4999,5.1155,2.1131,0.5433,0.9475,2.4182,#N/A N/A,#N/A N/A,#N/A N/A,2.8068
17/01/2020,6.4924,6.4449,3.9945,6.7754,3.4107,2.7152,2.7592,5.3551,4.8971,2.0899,0.5434,1.858,2.387,#N/A N/A,#N/A N/A,#N/A N/A,2.7746
24/01/2020,6.675,6.5814,4.036,6.9462,3.3543,2.7119,2.8381,5.4232,4.7151,2.1164,0.5431,1.8367,2.3671,#N/A N/A,#N/A N/A,#N/A N/A,2.806
31/01/2020,7.2197,7.0051,4.1667,7.2936,3.214,2.7339,2.928,5.5412,4.7554,2.3216,0.5438,1.8272,2.3655,#N/A N/A,#N/A N/A,#N/A N/A,2.9249
07/02/2020,7.2117,6.8442,3.9512,6.9234,3.1028,2.6491,2.8285,5.8143,4.6764,2.2089,0.5437,1.8419,2.3782,#N/A N/A,#N/A N/A,#N/A N/A,2.8523
14/02/2020,7.4838,7.0412,1.7053,6.8855,3.1638,2.6388,3.036,5.9244,4.599,2.2692,0.5444,1.2132,2.3781,#N/A N/A,#N/A N/A,#N/A N/A,2.8684
21/02/2020,7.6274,7.0924,1.6702,4.2937,3.1724,2.6398,2.882,5.9615,4.4961,2.2546,0.5438,1.1973,2.3686,#N/A N/A,#N/A N/A,#N/A N/A,2.8686
28/02/2020,8.6667,8.1201,2.0169,4.6076,3.4942,2.954,3.2621,6.3279,4.8667,2.5268,0.543,1.1916,2.4028,#N/A N/A,#N/A N/A,#N/A N/A,3.2134
06/03/2020,9.0038,8.1396,2.2911,4.8884,3.3481,2.8055,3.0603,6.2032,4.7114,2.5504,0.5402,1.1404,2.345,#N/A N/A,#N/A N/A,#N/A N/A,3.2556
13/03/2020,12.7356,11.6423,2.9303,5.1817,3.7802,3.0668,3.509,7.0469,5.559,2.8616,0.5388,1.194,2.5806,#N/A N/A,#N/A N/A,#N/A N/A,3.9286
20/03/2020,13.5558,12.7802,3.37,4.8278,3.5208,3.0907,3.2162,6.8222,5.4513,2.8787,0.5412,1.4466,2.6738,#N/A N/A,#N/A N/A,#N/A N/A,6.5587
