Start Date,07/01/2019,,,,,,,,,,,,,,,
End Date,05/01/2026,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,SHEL LN Equity,BP/ LN Equity,BARC LN Equity,HSBA LN Equity,ULVR LN Equity,TSCO LN Equity,AZN LN Equity,GSK LN Equity,NG/ LN Equity,DGE LN Equity,IGLS LN Equity,VGOV LN Equity,SLXX LN Equity,GLDW LN Equity,UKX Index,GUKG10 Index
,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...
Dates,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO
17/01/2020,14.9411,32.488,12.0027,25.7875,22.8956,19.6184,99.6146,15.9096,22.8438,26.0145,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,14.9988,#N/A N/A
24/01/2020,14.5938,31.9483,11.8795,25.2599,23.5147,19.642,97.2544,15.7097,23.7256,25.7979,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,14.7928,#N/A N/A
31/01/2020,13.4276,30.2845,11.5068,24.2718,23.9191,19.4842,95.1137,15.3753,23.5245,24.181,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,14.2128,#N/A N/A
07/02/2020,13.1419,30.4697,12.1342,24.9978,24.5324,20.1076,96.2565,14.6531,23.9221,24.846,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,14.596,#N/A N/A
14/02/2020,12.8005,29.9363,12.0493,25.4063,24.5432,20.1866,92.4194,14.3807,24.3244,24.4469,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,14.4901,#N/A N/A
21/02/2020,12.4961,29.5696,12.3027,24.3133,24.319,20.1787,96.8641,14.2911,24.881,24.4811,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,14.5155,#N/A N/A
28/02/2020,10.8169,25.4034,10.1877,22.285,21.4346,30.1515,84.173,13.4637,22.9865,21.4844,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,13.5624,#N/A N/A
06/03/2020,10.6094,25.823,8.9685,21.4029,22.1813,31.7481,91.425,13.7343,23.7443,21.69,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,13.3393,#N/A N/A
13/03/2020,7.1228,17.1445,7.0123,19.1744,19.0332,29.0431,75.7184,12.0899,20.1237,18.3572,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,11.1134,#N/A N/A
20/03/2020,6.3011,14.7061,6.0973,19.3783,19.9891,28.8187,77.788,12.4881,20.5213,17.1827,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,10.7732,#N/A N/A
27/03/2020,8.1242,19.0561,6.6692,19.3043,19.4857,30.6925,82.0102,12.4364,21.9153,18.9866,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,11.5232,#N/A N/A
03/04/2020,14.7426,20.1429,6.6867,26.9809,20.277,29.5445,75.9563,11.0988,28.8529,18.2965,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,11.3114,#N/A N/A
10/04/2020,15.4041,20.1429,8.1317,29.6597,20.8027,30.6133,77.0864,11.5071,31.1288,19.9549,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,12.2382,#N/A N/A
17/04/2020,14.0367,20.1429,7.5592,28.7697,20.9714,31.4182,86.6166,12.3745,30.9917,20.627,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,12.1324,#N/A N/A
24/04/2020,13.9401,20.1429,7.3842,27.5495,20.7262,31.1543,87.9683,12.5757,32.1913,19.931,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,12.0597,#N/A N/A
01/05/2020,12.632,20.1429,8.5617,27.977,20.6846,31.1807,89.2449,12.0064,31.876,21.0669,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,12.0863,#N/A N/A
08/05/2020,13.3749,20.1429,8.785,28.3296,20.6746,31.3127,91.9609,12.4789,31.5743,20.8966,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,12.4651,#N/A N/A
15/05/2020,12.1985,20.1429,8.1208,26.9109,20.5278,31.669,91.3773,12.2792,31.4235,20.2375,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,12.0041,#N/A N/A
22/05/2020,12.8932,20.1429,8.595,25.6225,20.3799,29.9931,95.1933,12.3939,30.1828,20.9952,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,12.4352,#N/A N/A
29/05/2020,12.7128,20.1429,9.6033,25.3251,21.3047,30.1251,91.8955,12.458,31.7389,20.9244,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,12.5636,#N/A N/A
05/06/2020,15.3532,20.1429,10.95,29.7945,21.9408,30.0459,92.9168,12.2032,31.4852,22.3863,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,13.3888,#N/A N/A
12/06/2020,13.8405,20.1429,9.755,26.4216,21.2244,29.848,89.1698,11.917,31.403,21.1621,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,12.603,#N/A N/A
19/06/2020,13.9475,20.1429,9.7133,26.8935,22.6802,30.0063,91.2973,12.3477,33.3635,21.8355,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,13.0143,#N/A N/A
26/06/2020,13.3581,20.1429,9.2483,26.0852,22.0184,30.4418,90.7954,12.2732,33.1236,20.2967,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,12.7405,#N/A N/A
03/07/2020,13.4881,20.1429,18.6645,26.2562,20.2797,29.2278,64.3142,9.775,31.6086,44.5934,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,13.8265,#N/A N/A
10/07/2020,13.4881,20.1429,18.9935,26.2562,19.8398,28.3437,65.4833,9.4696,29.8537,46.3587,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,13.6966,#N/A N/A
17/07/2020,13.4881,20.1429,18.7742,26.2562,20.3478,28.3173,70.3422,9.9818,30.5598,47.0116,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,14.1624,#N/A N/A
24/07/2020,13.4881,20.1429,18.3226,26.2562,21.7663,29.1222,67.4487,9.5008,30.9505,47.5252,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,13.8353,#N/A N/A
31/07/2020,13.4881,20.1429,16.2194,26.2562,21.5119,28.6472,68.1308,9.1978,30.8614,48.7795,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,13.4212,#N/A N/A
07/08/2020,13.4881,20.1429,16.871,26.2562,21.2988,29.5181,67.3572,9.3505,30.9848,44.5099,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,13.5893,#N/A N/A
14/08/2020,13.4881,20.1429,17.6129,26.2562,21.2672,30.0855,66.9509,9.2339,30.5666,45.3383,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,13.8267,#N/A N/A
21/08/2020,13.4881,20.1429,17.4194,26.2562,21.2092,30.0195,67.2799,9.11,30.0457,45.0326,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,15.874,#N/A N/A
28/08/2020,13.4881,20.1429,18.0581,26.2562,21.1696,25.4054,67.7727,8.8503,28.9009,44.4637,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,16.1214,#N/A N/A
