Start Date,07/01/2019,,,,,,,,,,,,,,,,
End Date,05/01/2026,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,SHEL LN Equity,BP/ LN Equity,BARC LN Equity,HSBA LN Equity,ULVR LN Equity,TSCO LN Equity,AZN LN Equity,GSK LN Equity,NG/ LN Equity,DGE LN Equity,IGLS LN Equity,VGOV LN Equity,SLXX LN Equity,SGLN LN Equity,UKX Index,GUKG10 Index,VUKE LN Equity
,#NAME?,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...
Dates,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST
27/09/2019,2408.5,519.3,150.92,624.3,5272.954,309.7,7383,1744.991,819.339,3299.5,134.03,25.30375,152.41,2372.5,7426.21,0.499,32.7225
04/10/2019,2319,494.9,142.94,601.9,5148.569,300.453,6998,1718.689,807.369,3288.5,134.14,25.45,151.7,2396,7155.38,0.443,31.59
11/10/2019,2290.5,493.55,160.48,607.4,4982.901,306.787,6916,1694.411,827.319,3210,133.43,24.56375,149.59,2283.5,7247.08,0.705,32.05
18/10/2019,2240,485.05,165,601.6,4960.383,309.067,6772,1665.277,835.114,3116.5,133.495,24.52625,150.57,2268.5,7150.57,0.709,31.6625
25/10/2019,2325.5,512,170.36,617.4,4966.281,303.493,7383,1719.701,838.732,3121,133.63,24.65125,151.575,2299.75,7324.47,0.682,32.355
01/11/2019,2260.5,497.1,167.18,588.8,4945.371,301.34,7465,1781.408,835.485,3154,133.61,24.62,151.98,2285,7302.42,0.663,32.335
08/11/2019,2341,508.6,166.44,595.6,5012.925,301.34,7277,1757.13,825.742,3090,133.47,24.19,150.52,2246.25,7359.38,0.789,32.64
15/11/2019,2308,508.9,170.74,573.7,4898.191,296.147,7248,1719.499,830.567,3096.5,133.505,24.315,150.965,2225,7302.94,0.729,32.44
22/11/2019,2281.5,499,169.26,579.8,4842.968,294.627,7418,1733.661,833.722,3119.5,133.57,24.32,151.06,2235.5,7326.81,0.705,32.56
29/11/2019,2211,480.2,171.54,576.3,4908.914,290.573,7458,1774.327,825.556,3165,133.505,24.47,151.77,2214.5,7346.53,0.697,32.685
